name,kind,director,country,year,imdb_rating
Американский оборотень в Лондоне,Комедийный фильм ужасов,"Лэндис, Джон","Соединённые Штаты Америки,Великобритания",1981,N/A
Американский пирог: Свадьба,Кинокомедия,"Дилан, Джесси (страница отсутствует)",Соединённые Штаты Америки,2003,N/A
Американский жиголо,Мелодрама,"Шредер, Пол",Соединённые Штаты Америки,1980,N/A
Американский пирог представляет: Голая миля,Кинокомедия,Джо Нуссбаум (страница отсутствует),"Соединённые Штаты Америки,Канада",2006,N/A
Американский ниндзя 3: Кровавая охота,Боевик (киножанр),"Сандстром, Сендрик (страница отсутствует)",Соединённые Штаты Америки,1989,7.1
Американские приключения,"Боевик (киножанр),Приключенческий фильм,Исторический фильм","Хун, Саммо,Лау Кавин (страница отсутствует),en:Lau Kar-wing",Гонконг,1997,N/A
Американский ниндзя,Боевик (киножанр),Сэм Фёрстенберг,"Соединённые Штаты Америки,Филиппины",1985,N/A
Американский дьявол,Триллер,,Соединённые Штаты Америки,2017,N/A
Американский ниндзя 4: Разрушение,Боевик (киножанр),"Сандстром, Сендрик (страница отсутствует)",Соединённые Штаты Америки,1991,7.6
Американский киборг: Стальной воин,"Боевик (киножанр),Постапокалиптика",Боаз Дэвидсон (страница отсутствует),Соединённые Штаты Америки,1993,N/A
Американский неудачник,Фильм-биография,"Братья Эрвины (страница отсутствует),en:Erwin brothers,Братья Эрвины (страница отсутствует),en:Erwin brothers",Соединённые Штаты Америки,2021,N/A
Американский дедушка,Кинокомедия,,Россия,1993,N/A
Американский ниндзя 2,Боевик (киножанр),"Фёрстенберг, Сэм",Соединённые Штаты Америки,1985,8.6
Американский боевой корабль,"Мокбастер,Научно-фантастический фильм,Боевик (киножанр),Вторжение пришельцев,Фильм-триллер,Военный фильм",d:Q51167162,Соединённые Штаты Америки,5 июля,N/A
Американский друг,Драма (жанр),"Вендерс, Вим","ФРГ,Франция",1977,N/A
Американские горки,"Криминальная драма,Триллер,Боевик (киножанр)","Стюарт, Джеб (сценарист)",Соединённые Штаты Америки,1997,N/A
Американская трагедия,Драма (жанр),"Гедрис, Марийонас Винцович",Союз Советских Социалистических Республик,,N/A
Американский грайндхаус,Документальное кино,,Соединённые Штаты Америки,2010,N/A
Американские животные,Драма (жанр),,"Кинематограф Великобритании,Кинематограф США",2018,N/A
Американские граффити,"Комедийная драма,История взросления","Лукас, Джордж",Соединённые Штаты Америки,1973,N/A
Американские детки,"Комедия,Драма (жанр)","Столберг, Джош",Кинематограф США,2005,N/A
Американские бродяги,"Комедия,Роуд-муви,Боевик (киножанр)",,Соединённые Штаты Америки,1996,N/A
Американская мечта,"Комедия,Музыка","Вайц, Пол (страница отсутствует)",Соединённые Штаты Америки,2006,N/A
Американская пастораль,Драма (жанр),"Макгрегор, Юэн",Соединённые Штаты Америки,2016,N/A
Американские молнии,"Спортивный фильм,Драматический фильм","Бэдэм, Джон",Соединённые Штаты Америки,1985,N/A
Американская интрижка,"Комедия,Драма (жанр)",,Соединённые Штаты Америки,2008,N/A
Американская сказка,"Фэнтези,Комедия",Дэвид Цукер,Соединённые Штаты Америки,2008,N/A
Американская рапсодия,"Биографический фильм,История взросления,Драматический фильм,d:Q482377",d:Q10396347,"Соединённые Штаты Америки,Венгрия",2001,N/A
Американская милашка,Роуд-муви,"Арнольд, Андреа","Великобритания,Соединённые Штаты Америки",2016,N/A
Американская история Икс,"Драма (жанр),Криминальный фильм,Инструментальная музыка,Электроакустическая музыка","Кэй, Тони (режиссёр)",Соединённые Штаты Америки,1998,N/A
Американская жестокость,"Криминальный фильм,Драматический фильм",,Соединённые Штаты Америки,2016,N/A
Американская ночь,Трагикомедия,"Трюффо, Франсуа","Франция,Италия",1973,N/A
Американская звезда,Фильм-триллер,d:Q1059776,"Соединённые Штаты Америки,Великобритания",2024,N/A
Американская Мэри,"Фильм ужасов,Триллер",,Канада,2012,N/A
Американка,Драма (жанр),,"Канада,Соединённые Штаты Америки",2019,N/A
Американская готика,,"Хаф, Джон (режиссёр) (страница отсутствует),en:John Hough (director)",,1987,N/A
Американская басня,Триллер,Энн Хэмилтон (страница отсутствует),Соединённые Штаты Америки,2016,N/A
Американец,"Драма (жанр),Криминальный фильм",Антон Корбейн,Соединённые Штаты Америки,2010,N/A
Американская девочка,"Подростковый фильм,Кинокомедия,Драматический фильм,d:Q20442589",d:Q6276394,Соединённые Штаты Америки,2002,N/A
Американизируй меня,Драма (жанр),Эдвард Джеймс Олмос,Соединённые Штаты Америки,1992,N/A
Американская дочь,"Трагикомедия,Роуд-муви","Шахназаров, Карен Георгиевич","Россия,Соединённые Штаты Америки",1995,N/A
Американец в Риме,Кинокомедия,Стено (кинорежиссёр),Италия,1954,N/A
Американец в Париже,,"Миннелли, Винсент",Соединённые Штаты Америки,1951,N/A
Американа,Драма (жанр),"Кэррадайн, Дэвид",Соединённые Штаты Америки,1983,N/A
Амаркорд,"Кинокомедия,Драма (жанр)","Феллини, Федерико","Италия,Франция",1973,N/A
Амангельды,,"Левин, Моисей Зеликович",Союз Советских Социалистических Республик,1938,N/A
"Америка, Америка","Драма (жанр),Мистика",Элиа Казан,Соединённые Штаты Америки,1963,N/A
Амели,Романтическая комедия,Жан-Пьер Жёне,Франция,2001,N/A
Американизация Эмили,,"Хиллер, Артур",Соединённые Штаты Америки,1964,N/A
Аманда и инопланетянин,"Кинофантастика,Комедия",Джон Кролл (страница отсутствует),Соединённые Штаты Америки,,N/A
Америка,Криминальная драма,Жуан Нуно Пинту (страница отсутствует),"Испания,Португалия,Россия,Бразилия",2010,N/A
Амбициозная кунгфуистка,"Боевик (киножанр),Приключенческий фильм",,Гонконг,1981,N/A
Амелия,"Фильм-биография,Драма (жанр),Мелодрама","Наир, Мира","Соединённые Штаты Америки,Канада",2009,N/A
Аманат,Драма (жанр),"Нарымбетов, Сатыбалды Жалелович",Казахстан,2015,N/A
Амазонка в огне,Приключенческий фильм,"Льоса, Луис","Перу,Соединённые Штаты Америки",1993,N/A
Амайа. Дитя вампира,"Драматический фильм,Фэнтезийный фильм,Фильм о вампирах",d:Q42206252,Флаг Испании,2021,N/A
"Амар, Акбар, Антони",Комедия,"Десаи, Манмохан (страница отсутствует),en:Manmohan Desai",Индия,1977,N/A
Альфонс,Кинокомедия,"Златоустовский, Владимир Борисович",Россия,1993,N/A
Амбивалентность,"Триллер,Драма (жанр)","Бильжо, Антон Андреевич",Россия,2019,N/A
