name,kind,director,country,year,imdb_rating
Агенты казначейства,Нуар (кино),Энтони Манн,Соединённые Штаты Америки,1947,N/A
Агнец,"Драма (жанр),Фолк-хоррор",,"Исландия,Швеция,Польша",2021,N/A
Агент особого назначения,Детектив,"Константин Статский (страница отсутствует),Наталья Шабанова (страница отсутствует),Андрей Элинсон (страница отсутствует)",Россия,,N/A
Агент Джонни Инглиш 3.0,"Кинокомедия,Пародия,Боевик (киножанр)",,"Кинематограф Великобритании,Кинематограф Франции",2018,7.1
Агент Коди Бэнкс,"Комедия,Пародия,Боевик (киножанр)","Цварт, Харальд (страница отсутствует),en:Harald Zwart",Соединённые Штаты Америки,2003,N/A
Агент секретной службы,"Детектив,Шпионский фильм,Драматический фильм",,Кинематограф СССР,1978,N/A
Агент-невидимка,"Фильм ужасов,Фантастический фильм",Эдвин Л. Марин,Соединённые Штаты Америки,1942,N/A
Агент по имени Далила,Триллер,Ричард Франклин,"Флаг США,США",1992,N/A
Агент Ева,,Тейт Тейлор,Соединённые Штаты Америки,25 сентября,N/A
Агент Джонни Инглиш: Перезагрузка,,"Паркер, Оливер",,2011,N/A
Агент,Боевик (киножанр),"Норрис, Аарон",Соединённые Штаты Америки,1991,N/A
Агент Джонни Инглиш,"Комедия,Боевик (киножанр)",,"Великобритания,Франция,Соединённые Штаты Америки",2003,N/A
Агент Коди Бэнкс 2: Пункт назначения - Лондон,Комедия,,Соединённые Штаты Америки,2004,8.6
Агент по кличке Спот,"Боевик (киножанр),Кинокомедия",Джон Уайтселл (страница отсутствует),Соединённые Штаты Америки,2001,N/A
Автострада,"Фильм ужасов,Триллер,Мистический фильм","Гаррис, Мик",Соединённые Штаты Америки,,N/A
Автостоп,"Мелодрама (жанр),Комедийная драма","Михалков, Никита Сергеевич","Союз Советских Социалистических Республик,Италия,Швейцария",1990,N/A
Агент Картер,"Короткометражный фильм,Боевик (киножанр),Приключенческий фильм,Научная фантастика в кинематографе",,Соединённые Штаты Америки,2013,N/A
Автостопом по галактике,"Приключенческий фильм,Кинокомедия,Кинофантастика",Гарт Дженнингс,"Великобритания,Соединённые Штаты Америки",28 апреля,N/A
Агата,"Драма (жанр),Триллер","Эптед, Майкл",Великобритания,1979,N/A
Автора! Автора!,Мелодрама,"Хиллер, Артур",Кинематограф США,1982,N/A
Авторитет,"Blaxploitation,Драма (жанр),Боевик (киножанр)","Дикерсон, Эрнест",Соединённые Штаты Америки,1992,N/A
Автор,,,"Испания,Мексика",2017,N/A
Авторитеты,Супергеройский фильм,,Кинематограф США,,N/A
"Автомобиль, скрипка и собака Клякса","Кинокомедия,Музыкальный фильм,Фильм-сказка","Быков, Ролан Антонович",Союз Советских Социалистических Республик,1974,N/A
Автопробег «Париж — Нью-Йорк»,,"Мельес, Жорж","Франция,Нью-Йорк (штат),Германия,Российская империя,Сибирь",1908,N/A
Автомобильные воры,Драма (жанр),"Блэктон, Джеймс Стюарт",Соединённые Штаты Америки,1,N/A
Автопортрет неизвестного,Драматический фильм,"Криштофович, Вячеслав Сигизмундович",Союз Советских Социалистических Республик,1988,N/A
Автокатастрофа,"Драма (жанр),Триллер","Кроненберг, Дэвид","Канада,d:Q839133,Великобритания",17 мая,N/A
Автомобиль,"Фильм ужасов,Фильм-тайна,Фильм-триллер",d:Q289055,Соединённые Штаты Америки,13 мая,N/A
Автомобиль на крыше,,"Кесаянц, Дмитрий Гагикович",Союз Советских Социалистических Республик,1980,N/A
Автомат,Документальное кино,,Соединённые Штаты Америки,2021,N/A
"Автомобили, которые съели Париж","Фильм ужасов,Кинокомедия",Питер Уир,Австралия,1974,N/A
Автобан,Боевик (киножанр),"Эрен Криви (страница отсутствует),en:Eran Creevy","Германия,Соединённые Штаты Америки,Великобритания",2016,N/A
Австрийка,"Драма (жанр),Исторический фильм","Гранье-Дефер, Пьер",Франция,1989,N/A
Автобус,Кинокомедия,"Скоуэн, Арне",Норвегия,1961,N/A
Автобус отходит в 6.20,"Драма (жанр),Соцреализм","Рыбковский, Ян",Польша,1954,5.5
Австрийское поле,Драматический фильм,"Черных, Андрей Васильевич (страница отсутствует)",Кинематограф СССР,1991,N/A
Агент 117:,"Кинокомедия,Боевик (киножанр),Поп-музыка,Фолк,Джаз","Хазанавичус, Мишель",Франция,2006,7.0
Автобусная остановка,"Кинокомедия,Драматический фильм","Логан, Джошуа",Соединённые Штаты Америки,1956,N/A
Агент 117: Из Африки с любовью,"Шпионский фильм,Кинокомедия","Бедос, Николя",Франция,2021,7.0
Аве Мария,"Драма (жанр),Мелодрама","Ефименко, Людмила Филипповна",Украина,1999,N/A
Австралия,"Эпос,Драма (жанр)","Лурман, Баз","Австралия,Соединённые Штаты Америки,Великобритания",26 ноября,N/A
Август. Восьмого,"Военный фильм,Боевик (жанр),Драма (жанр)","Файзиев, Джахонгир Хабибуллаевич",Россия,2012,N/A
Аве Цезарь,Комедия,Энтони Майкл Холл,Соединённые Штаты Америки,1994,N/A
Августовская рапсодия,Драма (жанр),"Куросава, Акира",Япония,1991,N/A
Август: Графство Осейдж,Драма,"Уэллс, Джон (продюсер)",Соединённые Штаты Америки,2013,N/A
«Аврора»,"Драма (жанр),Мелодрама","Байрак, Оксана Ивановна",Украина,2006,N/A
Авдотья Павловна,"Киноповесть,Драматический фильм,Социальная драма","Муратов, Александр Игоревич",Кинематограф СССР,1966,N/A
Агент 117: Миссия в Рио,"Кинокомедия,Боевик (киножанр)","Хазанавичус, Мишель",Франция,2009,7.0
Августовские киты,Драма (жанр),Линдсей Андерсон,Соединённые Штаты Америки,1987,N/A
Август без императора,"Драма (фильм),Триллер",Сацуо Ямамото,Япония,1978,N/A
Август Раш,"Драма (жанр),Мелодрама","Шеридан, Кирстен",Соединённые Штаты Америки,2007,N/A
Аватар,Драма (жанр),"Галлоне, Кармине",Королевство Италия (1861—1946),1916,N/A
Аватар: Огонь и пепел,"Эпический фильм,Научно-фантастический фильм,Боевик (киножанр),Приключенческий фильм,Фэнтези","Кэмерон, Джеймс",Кинематограф США,2025,N/A
«Аватар: Путь воды»,,"Кэмерон, Джеймс",Кинематограф США,2022,N/A
Август,"Кинокомедия,Драма (жанр)",Энтони Хопкинс,Великобритания,1996,N/A
Аватар 4,"Эпический фильм,Научно-фантастический фильм,Боевик (киножанр),Приключенческий фильм,Фэнтези","Кэмерон, Джеймс",Кинематограф США,2029,7.6
Авария,Триллер,"Мостоу, Джонатан",Соединённые Штаты Америки,1997,N/A
Авария!,Ужасы,,США,1976,N/A
Аварийный выход,Кинокомедия,Роман Залуски (страница отсутствует),Польша,1982,N/A
Авария (Несчастный случай),Боевик (киножанр),"Николаеску, Серджиу",Румыния,1976,N/A
Авангард: Арктические волки,Боевик (киножанр),Стэнли Тонг,Китай,2020,N/A
"Аватар, или Замена душ","Кинофантастика,Драма (жанр)","Маевский, Януш",Польша,1964,N/A
Авария — дочь мента,Драматический фильм,"Туманишвили, Михаил Иосифович",Кинематограф СССР,1989,N/A
Авантюристы,Приключенческий фильм,,Россия,2014,N/A
Авантюра леди Хелен,Короткометражное кино,"Гриффит, Дэвид Уорк",Кинематограф США,1909,N/A
Аванти!,Кинокомедия,"Уайлдер, Билли","Соединённые Штаты Америки,Италия",1972,N/A
Абсолютная власть,"Драма (жанр),Триллер,Детектив",,Соединённые Штаты Америки,2016,N/A
Авантюра,,"Макаров, Виталий Игнатьевич (страница отсутствует)","Россия,Украина",1995,N/A
Абу Райхан Беруни,Драматический фильм,Шухрат Аббасов,Кинематограф СССР,1974,N/A
Аванпост,"Фильм-триллер,Постапокалиптический фильм,Научно-фантастический фильм","Баранов, Егор Геннадьевич",Россия,2019,N/A
Абсолон,Фантастический боевик (жанр) (страница отсутствует),Дэвид Барто (страница отсутствует),"Великобритания,Канада",2003,N/A
Авантюрист,"Драма (жанр),Приключенческий фильм","Чжан Пэйчэн (страница отсутствует),zh:張佩成",Китайская Республика (Тайвань),1976,N/A
Авалон,Драма (жанр),"Левинсон, Барри",Соединённые Штаты Америки,1990,N/A
Ава,Драма (жанр),"Мисиус, Леа (страница отсутствует),fr:Léa Mysius",Франция,2017,N/A
Абсурдистан,Комедия,Файт Хельмер (страница отсутствует),"Германия,Азербайджан",2008,N/A
Абсолютные новички,"Драма (жанр),Фэнтези,Мелодрама,Мюзикл","Темпл, Джулиен (страница отсутствует),en:Julien Temple","Великобритания,Австралия",1986,N/A
"Абраксас, хранитель Вселенной",Боевик (киножанр),"Ли, Дэмьен (страница отсутствует)",США,1991,N/A
"Аборт: Истории, рассказанные женщинами",Документальное кино,,,2016,N/A
Абсолютная сотня,"Криминальный фильм,Драма (жанр),Боевик (киножанр),Триллер",Срджан Голубович,Союзная Республика Югославия,2001,N/A
Аббатство Даунтон: Новая эра,Историческая драма,"Кёртис, Саймон (режиссёр) (страница отсутствует),en:Simon Curtis (filmmaker)","Великобритания,Соединённые Штаты Америки",2022,N/A
Абрикосовые рощи,,Пуриа Хейдари Урех (страница отсутствует),Армения,2016,N/A
Абориген,Драматический фильм,"Николаева, Елена Владиславовна",Кинематограф СССР,1988,N/A
Абесалом и Этери,"Опера,Драматический фильм,Романтический фильм",Леонард Эсакия,"Грузинская Советская Социалистическая Республика,Грузинская ССР",1966,N/A
"Абдулладжан, или Посвящается Стивену Спилбергу","Фантастический фильм,Комедия",Зульфикар Мусаков,Союз Советских Социалистических Республик,1991,N/A
А у нас была тишина...,Военная драма,"Шамшурин, Владимир Георгиевич",Кинематограф СССР,1977,N/A
Абитуриентка,Драматический фильм,"Мишурин, Алексей Александрович",Кинематограф СССР,1973,N/A
Аафат,Криминальный триллер,d:Q55647621,Индия,1977,N/A
Аббатство Даунтон,Драма (жанр),"Энглер, Майкл (страница отсутствует),en:Michael Engler",Великобритания,2019,N/A
Аббат Шаолиня,"Боевик (киножанр),Приключенческий фильм","Хэ Мэнхуа (страница отсутствует),en:Ho Meng Hua",Гонконг,1979,N/A
Абель,Кинокомедия,Алекс ван Вармердам,Нидерланды,1986,N/A
Аббатство Даунтон 3,,"Кёртис, Саймон (режиссёр) (страница отсутствует),en:Simon Curtis (filmmaker)","Великобритания,Соединённые Штаты Америки",2025,7.1
А у вас который час?,Драма (жанр),Цай Минлян,Китайская Республика (Тайвань),2001,N/A
Абдулла Арипов,"Исторический фильм,Биографический фильм",,Узбекистан,2023,N/A
А теперь суди…,Драматический фильм,"Довгань, Владимир Захарович",Союз Советских Социалистических Республик,1966,N/A
«А чой-то ты во фраке?»,"Комедия,Мюзикл","Райхельгауз, Иосиф Леонидович","Россия,Россия",1993,N/A
А счастье рядом,Мелодрама,Маргарита Касымова,"Кинематограф СССР,Таджикская Советская Социалистическая Республика",1978,N/A
Абатуар. Лабиринт страха,Фильм ужасов,"Боусман, Даррен Линн",Соединённые Штаты Америки,2016,N/A
А зори здесь тихие…,,Ренат Давлетьяров,Россия,2015,N/A
"А теперь, дамы и господа","Криминальный фильм,Драма (жанр),Мелодрама,Триллер",Клод Лелуш,"Франция,Великобритания",2002,N/A
Монти Пайтон: а теперь нечто совсем другое,Кинокомедия,"Макнафтон, Иан (страница отсутствует)",Великобритания,1971,N/A
А пароходы гудят и уходят…,,d:Q20508963,Союз Советских Социалистических Республик,1972,N/A
А поутру они проснулись,"Кинокомедия,Драматический фильм","Никоненко, Сергей Петрович",Россия,2003,N/A
"А ну-ка, дедушки!",,"Ненова, Нинель Тодоровна,Цулая, Гено Ясонович","Союз Советских Социалистических Республик,Флаг Болгарии,Народная Республика Болгария",1981,N/A
А теперь не смотри,Мистический триллер (страница отсутствует),"Роуг, Николас","Великобритания,Италия",1973,N/A
А как же Боб?,Кинокомедия,"Оз, Фрэнк",Соединённые Штаты Америки,1991,N/A
А защищал её Плевако,Драма (жанр),,Российская империя,1916,N/A
…А зори здесь тихие,"Драма (жанр),Военный фильм,Экранизация","Ростоцкий, Станислав Иосифович",Союз Советских Социалистических Республик,1972,N/A
А завтра весь мир,Драматический фильм,Юлия фон Хайнц (страница отсутствует),"Флаг Германии,Флаг Франции",2020,N/A
А потом мы танцевали,Драма (киножанр),"Акин, Леван",,2019,N/A
А если это любовь?,Драма (жанр),"Райзман, Юлий Яковлевич",Кинематограф СССР,1961,N/A
«3096 дней»,Драма (жанр),"Хорман, Шерри",Германия,2013,6.5
А вот и гости!,"Кинокомедия,Драма (жанр),Семейный фильм,Фэнтези",Дэвид Йейтс,Великобритания,2003,N/A
А Йинг,Драматический фильм,"Фон, Аллен",Гонконг,1983,N/A
А вот и Лола,Романтическая комедия,"Эллен Сидлер (страница отсутствует),Мэган Силер (страница отсутствует)",Кинематограф США,2009,N/A
А кто я на этот раз?,,"Демми, Джонатан",США,1983,N/A
А в душе я танцую,Драма (жанр),"О'Доннелл, Дэмиен","Кинематограф Великобритании,Кинематограф Ирландии,Кинематограф Франции",2004,N/A
А вот и Полли,Комедия,Джон Гамбург (страница отсутствует),Соединённые Штаты Америки,2004,N/A
2046,"Драма (жанр),Мелодрама,Кинофантастика",Вонг Карвай,"Китай,Гонконг",2004,7.4
А был ли Каротин,"Детективный фильм,Кинокомедия","Полока, Геннадий Иванович",Союз Советских Социалистических Республик,1989,N/A
2036: Происхождение неизвестно,Научная фантастика,,Великобритания,2018,4.3
А вот и Хаггетты,"Комедийный фильм,Драматический фильм",Кен Эннакин,Великобритания,1948,N/A
А вы любили когда-нибудь?,Музыкальная комедия,"Усов, Игорь Владимирович",Союз Советских Социалистических Республик,1973,N/A
2012: Ледниковый период,"Научно-фантастический фильм,Фильм-катастрофа",,Соединённые Штаты Америки,2011,5.8
2019: После падения Нью-Йорка,"Боевик (киножанр),Фильм ужасов,Кинофантастика,Постапокалиптика","Мартино, Серджо","Франция,Италия",1983,5.5
7500,"Триллер,Боевик (киножанр)",,"Соединённые Штаты Америки,Австрия,Германия",2019,6.3
2199: Космическая одиссея,"Боевик (киножанр),Постапокалиптика,Космическая опера,Драма (жанр)","Ямадзаки, Такаси (страница отсутствует)",Япония,2010,8.1
2009: Утраченные воспоминания,"Альтернативная история,Кинофантастика,Боевик (киножанр),Триллер",Ли Щи-мён (страница отсутствует),"Флаг Республики Корея,Южная Корея,Флаг Японии,Япония",2002,6.1
3000 миль до Грейслэнда,"Драма (жанр),Комедия,Криминальная драма,Триллер",Дэмиен Лихтенштайн (страница отсутствует),США,2001,6.0
2012,"Научно-фантастический фильм,Фильм-катастрофа","Эммерих, Роланд",Соединённые Штаты Америки,2009,5.8
2001 маньяк,Комедия ужасов,Тим Салливан (страница отсутствует),Соединённые Штаты Америки,2005,8.3
2067: Петля времени,,,Австралия,2020,4.9
2001 маньяк: Территория криков,"Кинокомедия,Фильм ужасов","Салливан, Тим (страница отсутствует),en:Tim Sullivan (director)",Кинематограф США,2010,8.3
2081,"Кинофантастика,Антиутопия",Чендлер Таттл (страница отсутствует),Соединённые Штаты Америки,2009,6.9
1991: Год прорыва панка,Документальное кино,,Соединённые Штаты Америки,1992,7.3
1990: Воины Бронкса,"Боевик (киножанр),Антиутопия",,Италия,1982,5.2
2050,"Научно-фантастический фильм,Драматический фильм",,Соединённые Штаты Америки,2018,3.9
«1984»,Реклама,Ридли Скотт,США,1984,5.4
2030 — Восстание молодых немцев,"Фантастика,Драма",Йорг Людорф (страница отсутствует),Германия,2011,3.8
1993,Драматический фильм,"Велединский, Александр Алексеевич",Россия,2023,7.5
1941,"Военный фильм,Кинокомедия","Спилберг, Стивен",Соединённые Штаты Америки,1979,5.8
2036: Nexus Dawn,"Антиутопический фильм,Научно-фантастический фильм,Киберпанк","Скотт, Люк",Соединённые Штаты Америки,30 августа,6.9
1984,Антиутопия,"Рэдфорд, Майкл",Великобритания,1984,7.1
1812: Уланская баллада,"Приключенческий фильм,Исторический фильм","Фесенко, Олег Феликсович (страница отсутствует)",Россия,2012,8.3
1917,"Военный фильм,Драма (жанр)","Мендес, Сэм","Великобритания,Соединённые Штаты Америки",2019,8.2
1941. Крылья над Берлином,"Биографический фильм,Мелодрама",,Россия,2022,5.8
1939,Драма (жанр),"Поляков, Стивен",Великобритания,2009,6.1
1812 год,"Драма (жанр),Исторический фильм","Гончаров, Василий Михайлович,Кай Ганзен (страница отсутствует),Александр Уральский (страница отсутствует)",Российская империя,1912,8.3
1971,Документальное кино,"Гамильтон, Джоанна (страница отсутствует)",Соединённые Штаты Америки,2014,8.2
1242: Врата на Запад,,d:Q56390802,Венгрия,2023,N/A
1860,Драма (жанр),"Блазетти, Алессандро",Италия,1934,7.7
1922,"Криминальная драма,Триллер",,Соединённые Штаты Америки,2017,6.2
1812,"Документальное кино,Драма (жанр)",,Россия,,5.6
1944,"Военный фильм,Драма (жанр)","Нюганен, Эльмо","Эстония,Финляндия",2015,7.0
1500 шагов,Драма (жанр),"Рейд, Джош (страница отсутствует)",Австралия,2014,6.4
1612,Приключенческий фильм,"Хотиненко, Владимир Иванович",Россия,2007,5.6
1408,"Психологические ужасы,Триллер,Мистический фильм,Психоделика,Драматический фильм","Хофстрём, Микаэль",Соединённые Штаты Америки,2007,6.8
1492: Завоевание рая,"Драма (жанр),Исторический фильм","Скотт, Ридли","Соединённые Штаты Америки,США,Франция,Франция,Испания,Испания,Великобритания,Великобритания",1992,6.4
1210,Драма (жанр),Арсений Гончуков,"Флаг России,Россия",2012,6.2
600 миль,Драматический фильм,d:Q22443163,Мексика,6 февраля,5.5
711 Оушен Драйв,Фильм нуар,Джозеф М. Ньюман,Соединённые Штаты Америки,1950,6.8
1040,Документальное кино,Эван Джексон Леонг (страница отсутствует),Соединённые Штаты Америки,,N/A
900 незабываемых дней,"Документальный фильм,Пропагандистский фильм","Соловцов, Валерий Михайлович",Союз Советских Социалистических Республик,1964,6.2
1002-ая ночь,Музыкальный фильм,Мукадас Махмудов,Союз Советских Социалистических Республик,1964,8.6
900 дней.,Документальный фильм,,"Флаг Нидерландов,Нидерланды",2011,6.2
500 дней лета,"Романтический фильм,Комедийная драма","Уэбб, Марк",Соединённые Штаты Америки,2009,7.7
713-й просит посадку,"Драма (жанр),Триллер,Приключенческий фильм,Фильм-катастрофа","Никулин, Григорий Георгиевич (старший)",Кинематограф СССР,1962,6.7
977,"Кинофантастика,Драма (жанр)","Хомерики, Николай Феликсович",Россия,2006,5.6
300 спартанцев,"Эпический фильм,Исторический фильм,Боевик (киножанр)","Снайдер, Зак",Соединённые Штаты Америки,2006,7.6
300 спартанцев: Расцвет империи,"Эпический фильм,Исторический фильм,Боевик (киножанр)",,Соединённые Штаты Америки,6,7.6
800 пуль,Драма (жанр),"Иглесия, Алекс де ла",Испания,2002,7.1
800 льё вниз по Амазонке,Приключенческий фильм,"Льоса, Луис","Перу,Соединённые Штаты Америки",1993,7.1
451° по Фаренгейту,Антиутопия,"Трюффо, Франсуа","Франция,Великобритания",23 декабря,7.2
451 градус по Фаренгейту,"Драматический фильм,d:Q15062348,Научно-фантастический фильм,d:Q52207399","Бахрани, Рамин",Соединённые Штаты Америки,,7.2
"301, 302","Триллер,Фильм ужасов,Детектив","Пак Чхоль Су (страница отсутствует),en:Park Chul-soo",Республика Корея,1995,6.4
365 дней,,"Барбара Бяловонс (страница отсутствует),Томаш Мандес (страница отсутствует)",Польша,2020,3.3
317-й взвод,"Военный фильм,Драматический фильм","Шёндёрффер, Пьер","Франция,Испания",1964,3.7
120 ударов в минуту,"Драматический фильм,d:Q20442589","Кампийо, Робен",Франция,2017,5.8
247 градусов по Фаренгейту,Фильм ужасов,,"Соединённые Штаты Америки,Грузия",2011,4.8
200 сигарет,"Кинокомедия,Драма (жанр),Мелодрама",,Соединённые Штаты Америки,1999,6.0
109-й идёт без остановок,Фильм-катастрофа,"Сато, Дзюнъя",Япония,1975,6.6
128 ударов сердца в минуту,Драма (жанр),Макс Джозеф (страница отсутствует),"Соединённые Штаты Америки,Франция,Великобритания",2015,7.4
187,"Драма (жанр),Триллер","Рейнольдс, Кевин (режиссёр)","Соединённые Штаты Америки,США",1997,N/A
102 далматинца,Комедия,"Лима, Кевин",Соединённые Штаты Америки,2000,4.8
127 часов,"Драма (жанр),Триллер","Бойл, Дэнни","Соединённые Штаты Америки,Великобритания",2010,7.5
101-й километр,Драма (жанр),"Марягин, Леонид Георгиевич",Россия,2001,5.7
130 детей,Документальное кино,d:Q117440236,,2022,N/A
101 далматинец,"Семейный фильм,Кинокомедия,Приключенческий фильм","Херек, Стивен",Соединённые Штаты Америки,1996,5.7
100 футов,,Эрик Ред,Соединённые Штаты Америки,2008,7.5
101 Рейс,Биография,,Узбекистан,,5.7
100 проблем и девушка,Кинокомедия,d:Q55433646,Соединённые Штаты Америки,2000,7.5
101 Рейкьявик,Романтическая комедия,Балтазар Кормакур,"Кинематограф Исландии,Кинематограф Дании,Кинематограф Норвегии,Кинематограф Франции",2000,5.7
100 слёз,Фильм ужасов,,Соединённые Штаты Америки,2007,7.5
100 дней с Мистером Высокомерие,"Романтическая кинокомедия,Мелодрама",d:Q50822088,Республика Корея,2004,7.5
99 франков,"Кинокомедия,Драма (жанр)","Кунен, Ян",Франция,2007,7.1
99 домов,Драматический фильм,"Бахрани, Рамин",Соединённые Штаты Америки,2014,7.1
99 женщин,"Драма (жанр),Триллер,Фильм ужасов","Франко, Хесус","Великобритания,Италия,Испания,Федеративная Республика Германии (1949—1990),Федеративная Республика Германии (1949—1990),Лихтенштейн",1969,7.1
100 миллионов евро,Комедия,Оливье Барру,Франция,2011,7.5
100 девчонок и одна в лифте,Комедия,"Дэвис, Майкл (режиссёр)",Соединённые Штаты Америки,2000,7.5
100 лет,Научная фантастика,"Родригес, Роберт",Франция,,7.5
100 метров,"Драма (жанр),Кинокомедия",Марсель Баррена (страница отсутствует),"Испания,Португалия",2016,7.5
72 часа,"Военный фильм,Драматический фильм","Ангелина, Кира Васильевна (страница отсутствует)",Россия,2015,7.0
100 всадников,"Исторический фильм,Приключенческий фильм",,"Италия,Испания,Федеративная Республика Германии (1949—1990),Федеративная Республика Германии (1949—1990)",1964,7.5
100 вещей и ничего лишнего,Кинокомедия,d:Q87432,Германия,2018,7.5
71: В огне,"Боевик (киножанр),Драма (жанр),Военный фильм","Ли Джэ Хан (страница отсутствует),ko:이재한 (영화 감독)","Республика Корея,Кинематограф Республики Корея",2010,7.2
80 миллионов,"Драма (жанр),Боевик (киножанр),Исторический фильм","Кшистек, Вальдемар",Польша,2011,5.9
99,Криминальный фильм,Майкл Кёртис,,1918,7.3
72 метра,"Фильм-катастрофа,Драма (жанр),Трагикомедия","Хотиненко, Владимир Иванович",Россия,2004,7.0
71,"Исторический фильм,Драма (жанр)","Деманж, Ян",Великобритания,2014,7.2
71 фрагмент хронологии случайностей,Драма (жанр),"Ханеке, Михаэль","Австрия,Германия",1994,7.2
55 дней в Пекине,"Драма (жанр),Исторический фильм,Военный фильм","Рэй, Николас",Соединённые Штаты Америки,1963,6.7
65,"Научно-фантастический фильм,Остросюжетный боевик",Скотт Бек и Брайан Вудс (страница отсутствует),Соединённые Штаты Америки,2023,5.4
69 (Шестьдесят девять),"Комедия,Криминальный фильм","Ратанаруанг, Пен-Ек",Таиланд,1999,6.0
92 ядерных взрыва на планете Земля,Документальное кино,"Гринуэй, Питер",,2010,7.9
50 первых поцелуев,Романтическая комедия,"Сигал, Питер",Соединённые Штаты Америки,2004,6.8
88 минут,Триллер,"Эвнет, Джон","Соединённые Штаты Америки,Канада,Германия",2007,5.9
55,Документальный фильм,"Михалков, Никита Сергеевич",Россия,2007,6.7
50 оттенков голубого,Драма (жанр),,Новая Зеландия,2005,6.8
40-я дверь,Драма (жанр),"Гулиев, Эльчин Мусаоглу",Азербайджан,2009,7.1
49 дней,"Драматический фильм,Приключенческий фильм","Габай, Генрих Саулович",Кинематограф СССР,1962,6.5
"50 ютуберов борются за $1,000,000 для своих подписчиков!",,,,13 июля,N/A
2 дурня в снегу,Комедия,"Гийерму, Жан-Луи",Франция,1977,8.6
47 ронинов,"Фэнтези,Боевик (киножанр),Драма (жанр)",,"Соединённые Штаты Америки,Япония",2013,6.2
50 таблеток,Драма,"Эвгерино, Тео (страница отсутствует)",Соединённые Штаты Америки,2006,6.8
2 дня в Париже,"Комедия,Драма (жанр),Мелодрама","Дельпи, Жюли","Франция,Германия",2007,8.6
3: История Дейла Эрнхардта,"Фильм-биография,Спортивный фильм,Драма (жанр)","Малкэхи, Рассел",Соединённые Штаты Америки,,7.1
90 минут на небесах,Драма (жанр),,Кинематограф США,2015,8.4
31-й километр,"Ужасы,Мистика",Ригоберто Кастаньеда (страница отсутствует),"Мексика,Испания",2006,5.1
31 июня,"Музыкальный фильм,Мюзикл,Фэнтези","Квинихидзе, Леонид Александрович",Союз Советских Социалистических Республик,,5.1
51,"Кинофантастика,Фильм ужасов","Коннери, Джейсон",Соединённые Штаты Америки,2011,3.5
 ,"Драматический фильм,Мелодрама","Вильнёв, Дени",Канада,1998,N/A
2 Girls 1 Cup,"Порнофильм,d:Q20442589",d:Q65113410,Бразилия,5 января,6.4
45-й калибр,Драма (жанр),Гари Леннон (страница отсутствует),Соединённые Штаты Америки,2006,7.1
45 лет,Фильм-драма,"Хэйг, Эндрю (страница отсутствует),en:Andrew Haigh",Великобритания,2015,7.1
31,Фильм ужасов,Роб Зомби,Соединённые Штаты Америки,2016,5.1
2:22,Триллер,"Карри, Пол (страница отсутствует),en:Paul Currie (director)","Соединённые Штаты Америки,Австралия",2017,5.7
2+1,Музыка к фильму,"Желен, Юго",,2016,5.9
30 дней ночи: Тёмные времена,"Триллер,Фильм ужасов",Бен Кетай (страница отсутствует),Соединённые Штаты Америки,2010,6.3
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"Кинокомедия,Фильм ужасов",Крэйг Мосс (страница отсутствует),Соединённые Штаты Америки,2012,6.3
29-я улица,"Комедия,Драма (жанр)","Галло, Джордж",Соединённые Штаты Америки,1991,6.9
32 декабря,"Кинокомедия,Кинофантастика,Мелодрама","Муратов, Александр Александрович (режиссёр)",Россия,2004,5.6
29 пальм,"Драма (жанр),Роуд-муви","Дюмон, Брюно","Франция,Германия,Соединённые Штаты Америки",2003,6.9
29 Километр,"Драма (жанр),Музыкальный фильм",Леонид Андронов (страница отсутствует),Россия,2012,6.9
28 дней спустя,"Постапокалиптика,Фильм ужасов,Музыка к фильму","Бойл, Дэнни",Великобритания,2002,7.5
28 недель спустя,"Постапокалиптика,Фильм ужасов","Фреснадильо, Хуан Карлос","Великобритания,Соединённые Штаты Америки,Испания",2007,7.5
28 лет спустя. Часть II: Костяной храм,"Постапокалиптика,Фильм ужасов",d:Q61995088,,16 января,N/A
30 свиданий,"Комедия,Мелодрама","Игуменцева, Таисия Юрьевна",Россия,2016,6.3
28 лет спустя,"Постапокалиптика,Фильм ужасов","Бойл, Дэнни","Великобритания,Соединённые Штаты Америки",2025,7.5
30 безумных желаний,Независимый кинематограф,d:Q71276822,Соединённые Штаты Америки,2018,6.3
28 дней,"Драма (жанр),Кинокомедия","Томас, Бетти",Соединённые Штаты Америки,2000,7.5
27 свадеб,Романтическая комедия,"Флетчер, Энн",Соединённые Штаты Америки,2008,6.1
27 украденных поцелуев,"Кинокомедия,Драма (жанр),Мелодрама","Джорджадзе, Нана Гивиевна","Грузия,Франция,Германия,Россия",2000,6.1
27-й день,Научная фантастика в кинематографе,Уильям Эшер,Соединённые Штаты Америки,1957,6.1
27 Секунд памяти,Документальное кино,"Качалин, Иван Сергеевич","Россия,Чехия,Нидерланды",2019,6.1
30 дней ночи,Фильм о вампирах,"Слейд, Дэвид",Соединённые Штаты Америки,16 октября,6.3
21 и больше,Кинокомедия,,Соединённые Штаты Америки,2013,7.2
22 мили,"Боевик (жанр),Триллер (жанр)","Берг, Питер",Соединённые Штаты Америки,2018,7.0
30 Rock: A XXX Parody,Порнофильм,,Соединённые Штаты Америки,2009,6.5
